given_name,family_name,date_of_birth,place_of_birth
Peter,Dixon,1847-03-19,Dumfries
Ada,Penney,1851-10-27,Newton Stewart
Nellie,Crawford,1849-07-08,Omagh
Hugh,Grant,1924-05-18,Kilsyth
John,Reid,1872-01-20,Airdrie
Amos,Kerr,1844-01-17,Bathgate
William,Beetham,1948-01-02,Arbroath
Margaret,Hamilton,1877-11-14,Dalbeattie
Jose,Hyam,1901-01-06,Ballymena
Hilda,Simpson,1861-02-20,Bangor
David,Watt,1926-12-11,Downpatrick
Leonard,Venters,1874-04-26,Hamilton
Betty,Crawford,1936-11-18,Kilsyth
Charles,Brown,1929-10-02,Milngavie
William,Hopkins,1899-01-09,Blairgowrie
Agnes,Sinclair,1966-03-31,Inverness
Alice,Penney,1912-05-13,Brechin
Peter,Wood,1857-03-12,Armagh
Alice,Penney,1987-05-13,Lanark
Frederick,Bentham,1933-05-25,Nairn
Charles,Ferguson,1976-11-19,Carrickfergus
Robert,Watt,1912-12-28,Portadown
Jane,Cunningham,1866-10-10,Galashiels
Agnes,Watt,1973-10-27,Haddington
Donald,Walker,1866-02-26,Armagh
Betty,Grant,1929-01-29,Bellshill
Winifred,Williams,1978-11-25,Dalry
Harold,Hyam,1840-07-17,Golspie
Helen,Anderson,1907-08-26,Dalbeattie
Ethel,Wallace,1847-09-18,Carluke
Anne,Bentham,1845-07-18,Kelso
Arthur,Bennett,1990-11-07,Dumbarton
Grace,MacDonald,1982-10-08,Montrose
Mabel,Bennett,1941-11-25,Carluke
Stanley,Helm,1937-01-28,St Andrews
Thirza,Grant,1940-04-30,Hawick
Jose,Molnar,1857-02-24,Inverness
Susan,Crawford,1961-11-26,Selkirk
Harold,Hyam,1911-11-28,Peebles
Christopher,Bentham,1886-04-09,Golspie
David,Graham,1965-01-24,Fraserburgh
Andrew,Booth,1947-07-02,Stranraer
Florence,Stevenson,1952-06-19,Wishaw
Hilda,Munro,1937-10-01,Forres
Samuel,Anderson,1902-09-07,Helensburgh
Colin,Venters,1957-08-07,Paisley
Andrew,Munro,1869-04-20,Ardrossan
Patrick,MacDonald,1986-12-09,St Andrews
Olive,Latham,1909-03-28,Montrose
Anne,Venters,1970-05-18,Rothesay
Joseph,Jeffery,1911-05-28,Langholm
Richard,Ghillyer,1966-04-24,Castle Douglas
Violet,Henderson,1886-09-14,Crieff
Ethel,Findlay,1873-12-29,Dalkeith
Josephine,Scott,1957-07-17,Inverness
Violet,Watson,1962-08-11,Dalry
Edward,Burns,1967-05-19,Forres
Gladys,Bell,1854-09-18,Greenock
Daniel,Hyam,1859-09-26,Airdrie
Helen,Hopkins,1973-07-26,Kilsyth
Mabel,Bruce,1944-03-27,Grantown-on-Spey
Jean,Barth,1980-02-27,Tillicoultry
Leonard,Kerr,1978-04-12,Annan
James,Murray,1850-06-12,Ballymena
James,Currie,1863-09-28,St Andrews
Amos,Morrison,1874-09-17,Downpatrick
Nancy,Clark,1893-01-03,Kelso
Alice,Crawford,1910-12-12,Haddington
Gladys,Sinclair,1948-10-16,Perth
Joseph,Wood,1842-11-01,Larne
Sarah,Bentham,1885-07-13,Lerwick
Colin,Marshall,1928-10-02,Stonehaven
Patrick,Morrison,1872-02-04,Wishaw
Mary,Reid,1966-08-01,Musselburgh
Richard,Bell,1943-09-22,Helensburgh
Hilda,Marshall,1979-12-03,Lisburn
Nellie,Penney,1966-03-11,Ardrossan
Hugh,McKay,1948-06-25,Stranraer
Henry,Mclaughlan,1856-03-14,Port Glasgow
James,Milne,1964-06-27,Bridge of Allan
Hugh,Molnar,1969-08-23,Peebles
Betty,Simpson,1964-11-07,Dingwall
Donald,Scott,1946-05-04,Clydebank
Jonathan,Reid,1884-07-13,Buckie
Ian,Hopkins,1962-11-25,Oban
Ian,Latham,1942-05-15,Bellshill
Beatrice,Booth,1968-12-17,Lisburn
Patrick,Martin,1897-11-14,Airdrie
Helen,Mitchell,1915-12-31,Forfar
Sidney,Ghillyer,1884-05-19,Stornoway
Harold,Doyle,1862-05-08,Blairgowrie
Susan,Crawford,1858-09-28,Linlithgow
Donald,Wright,1900-07-13,Stranraer
Philip,Mclaughlan,1847-01-22,Alloa
Jean,Henderson,1967-06-08,Bridge of Allan
Alice,Wright,1944-08-28,Banbridge
Olive,Bennett,1894-12-13,Portadown
Hilda,Hyam,1956-08-09,Stirling
William,Currie,1871-04-29,Airdrie
Norman,Millar,1882-02-10,Lisburn
Frederick,Barth,1902-08-09,West Calder
Sidney,Milne,1849-06-13,Port Glasgow
Susan,Helm,1892-11-17,Motherwell
Jean,Thomson,1884-02-02,Lockerbie
Florence,Humphreys,1933-02-13,Stornoway
Alan,Hyam,1934-09-13,Keith
Alan,Hunter,1899-03-16,Omagh
Alexander,Styles,1907-12-23,Banbridge
Stanley,Millar,1921-08-13,Coleraine
Philip,Henderson,1890-01-20,Carluke
Amos,Hamilton,1945-01-10,Kilsyth
Colin,Simpson,1841-10-14,Dumfries
Helen,Duncan,1952-01-25,Bellshill
Alan,Humphreys,1908-06-14,Lockerbie
Muriel,Cash,1852-11-29,Haddington
Frederick,Wright,1889-06-13,Omagh
Josephine,Rogerson,1935-04-07,Hamilton
John,Hamilton,1867-02-18,Ballymena
Josephine,Craig,1915-05-21,Kinross
Doris,Molnar,1971-03-07,Dumbarton
Harold,Brown,1951-12-09,Motherwell
Philip,Latham,1952-10-29,Bangor
Gladys,Reid,1874-07-11,Portsoy
Robert,Booth,1923-05-19,Airdrie
Beatrice,Ghillyer,1922-11-13,Grantown-on-Spey
Harold,Mitchell,1898-11-04,Kilmarnock
Doris,Kerr,1876-04-22,Fraserburgh
Sheila,Penney,1858-11-14,Irvine
Florence,Mitchell,1953-09-04,Dalbeattie
Ada,Hunter,1852-01-19,Musselburgh
Doris,Henderson,1933-04-22,Strabane
Charles,Hopkins,1974-04-19,Peterhead
Joseph,Munro,1916-03-26,Thurso
Andrew,Penney,1971-07-09,Greenock
Catherine,Simpson,1957-09-17,Brechin
Kathleen,Watt,1911-08-20,Portsoy
Beatrice,Murray,1850-03-16,Perth
Nancy,Johnston,1865-12-26,Dingwall
Lily,Mclaughlan,1845-01-12,Dumfries
Patrick,Chandler,1895-02-14,Omagh
Olive,Taylor,1900-05-22,Galashiels
Mary,Renshaw,1977-04-01,Bridge of Allan
Alan,Smith,1939-10-25,Motherwell
Ethel,Currie,1957-12-06,Londonderry
Kathleen,Mclaughlan,1892-01-04,Fraserburgh
Amos,Wallace,1877-10-31,Port Glasgow
Charles,Burns,1864-06-28,Bridge of Allan
Olive,Chandler,1924-09-30,Fraserburgh
Beatrice,Taylor,1976-05-25,Barrhead
Albert,Morrison,1946-11-10,Clydebank
Samuel,Clements,1864-05-11,Kirriemuir
Christopher,Grant,1884-05-23,Peterhead
Nancy,Gordon,1909-09-17,Dunfermline
Alan,Marshall,1978-05-16,Forres
Olive,Mitchell,1872-06-10,Irvine
William,Smith,1867-08-21,Elgin
Olive,Cunningham,1943-10-09,Forres
Agnes,Murray,1848-10-13,Musselburgh
Betty,Rogerson,1919-11-23,Kirkintilloch
Janet,Mitchell,1866-10-17,Barrhead
Elsie,Johnston,1945-08-17,Larne
Gladys,Clements,1897-07-21,Carrickfergus
Albert,Chandler,1976-08-11,Leven
Robert,Anderson,1844-09-23,Dalry
Colin,Wallis,1915-10-21,Armagh
Christopher,Thomson,1890-08-03,Newry
Nellie,Murray,1865-10-09,Dingwall
Samuel,Cunningham,1990-01-23,Bellshill
Thomas,Latham,1930-05-01,Londonderry
Janet,Shaw,1876-02-20,Falkirk
Sarah,Graham,1892-10-01,Dalkeith
Peter,Styles,1973-02-12,Bridge of Allan
Jean,Wallis,1950-10-02,Dunfermline
Josephine,Renshaw,1865-02-20,Milngavie
Edith,Molnar,1936-06-04,Dingwall
Arthur,Molnar,1853-06-19,Blairgowrie
Hilda,Mclaughlan,1990-01-21,Inverness
Violet,Findlay,1855-08-26,Brechin
Steven,Denton,1852-02-01,Edinburgh
Olive,Hamilton,1981-12-18,Dungannon
Ruth,Kerr,1840-10-23,Ballymena
Florence,Wright,1878-06-12,Linlithgow
Kenneth,Styles,1953-10-24,Portadown
Ronald,Taylor,1967-05-27,Campbeltown
Robert,Hamilton,1858-05-08,Forres
Daniel,Latham,1945-04-21,Hamilton
Olive,Hamilton,1972-01-20,Aberdeen
William,Graham,1845-11-10,Dungannon
Sidney,Denton,1904-03-04,Kirriemuir
Dorothy,Doyle,1984-11-24,Invergordon
Richard,Barth,1924-09-16,Coatbridge
Mabel,Booth,1852-07-13,Aberdeen
Colin,Cunningham,1894-02-07,Perth
Grace,Anderson,1841-11-24,Coatbridge
Sarah,Hutchinson,1970-11-11,Glasgow
Grace,Campbell,1855-10-01,Portadown
Ada,Hay,1881-12-17,Kilmarnock
Stanley,Ross,1967-03-27,Carluke
Susan,Doyle,1977-04-21,Coleraine
Josephine,Bell,1921-12-17,Musselburgh
Albert,Barth,1904-09-14,Banff
Kenneth,Booth,1985-09-30,Huntly
Kathleen,Graham,1977-11-25,Dingwall
Samuel,Cunningham,1931-03-14,Londonderry
Leonard,Thomson,1925-05-30,Tillicoultry
Joseph,Farrow,1986-02-27,Fraserburgh
Frederick,Allan,1894-05-31,Forres
Sheila,Hamilton,1921-12-27,Annan
Kenneth,Clements,1984-07-30,Selkirk
Janet,Mitchell,1953-10-24,Kirkcaldy
Kathleen,Hutchinson,1844-11-02,Clydebank
Thirza,Morrison,1873-04-22,Buckie
Thomas,Hay,1888-11-28,Huntly
Gladys,Wallace,1903-07-28,Blairgowrie
Mabel,Barth,1885-02-09,Musselburgh
Alice,Campbell,1932-03-02,Belfast
Kenneth,Helm,1936-09-11,Invergordon
Olive,Campbell,1926-06-25,Bridge of Allan
Ruth,Duncan,1970-06-22,Armagh
Stanley,Stevenson,1972-07-07,Newtownards
Iris,Mclaughlan,1955-06-17,Newry
Jean,Bennett,1862-08-11,Downpatrick
Andrew,Denton,1915-10-03,Omagh
Donald,Norman,1866-01-23,Inverness
Sean,Denton,1898-08-08,Dingwall
Leonard,Cash,1912-01-26,Kirkcaldy
Ada,Bell,1841-07-22,Londonderry
Henry,Ritchie,1846-11-13,Motherwell
Nancy,Henderson,1901-08-10,Inverness
Michael,Craig,1940-07-09,Stornoway
Edward,Anderson,1890-07-28,Ballymena
Nancy,Denton,1883-08-24,Larne
Edith,Gray,1914-03-06,Dufftown
Margaret,Findlay,1957-05-10,Dalbeattie
Andrew,Williams,1840-10-11,Milngavie
Henry,Cash,1924-05-11,Dalbeattie
Agnes,Milne,1959-04-29,Coatbridge
Peter,Black,1969-10-15,Arbroath
Edith,Ritchie,1844-08-08,St Andrews
Peter,Bennett,1948-11-10,Belfast
Iris,Martin,1857-06-17,Campbeltown
Leonard,Beetham,1939-02-05,Bathgate
Jane,Campbell,1955-03-08,Kinross
Dorothy,Watt,1901-07-23,Kirkintilloch
Sarah,Murray,1879-11-17,Keith
Sarah,Joynson,1896-06-24,Newton Stewart
Samuel,Brown,1955-05-12,Portsoy
Kenneth,Hopkins,1872-11-17,Blairgowrie
Betty,Styles,1910-10-31,Newry
Violet,Hetherington,1988-11-27,Jedburgh
Steven,Denton,1977-01-27,Dalbeattie
Donald,Wilson,1929-03-27,Irvine
Alan,Shaw,1843-09-05,Lurgan
Sidney,Beetham,1884-09-05,Haddington
Agnes,Scott,1934-09-17,Forres
Michael,Gray,1854-08-16,Paisley
Susan,Fraser,1881-04-07,Barrhead
Helen,Williams,1882-05-03,Jedburgh
Daniel,Shaw,1919-03-14,Coleraine
Steven,Bennett,1919-03-23,Leven
Alan,Graham,1900-09-15,Hawick
Hugh,Hunter,1894-02-03,Lurgan
Andrew,Latham,1872-11-30,Peebles
Ruth,Chandler,1984-11-26,Tillicoultry
Patrick,Murray,1889-07-05,Jedburgh
Doris,Sinclair,1936-02-20,Lerwick
Andrew,Ghillyer,1842-01-13,Coatbridge
Iris,Sinclair,1883-07-06,Dingwall
Joseph,Norman,1887-07-14,Jedburgh
John,Douglas,1963-03-18,Kirkwall
George,Norman,1977-09-26,Golspie
Olive,Kerr,1932-11-24,Airdrie
Ronald,Anderson,1968-03-18,Elgin
Ada,Rogerson,1876-12-27,Kinross
Alexander,Rogerson,1887-10-10,Newton Stewart
Catherine,Hopkins,1853-01-23,Dufftown
Jonathan,Duff,1978-11-09,Londonderry
Ronald,Duncan,1900-04-27,Kilmarnock
Jane,Reid,1906-02-22,Kirkwall
Thirza,Ross,1854-05-07,Stornoway
Andrew,Clements,1948-06-26,Oban
Jane,Bell,1897-05-22,Ardrossan
Alan,Kennedy,1964-02-16,Dunfermline
David,Smith,1888-12-20,Ballymoney
Samuel,Hopkins,1923-09-17,Kilmarnock
Catherine,Renshaw,1850-01-19,Lockerbie
Alexander,Stevenson,1946-01-26,Rothesay
Jonathan,Henderson,1988-05-03,Selkirk
Ian,Gray,1956-01-15,Bathgate
Thirza,Wallis,1946-02-22,Wick
Ian,Hunter,1896-05-18,Hawick
Harold,Taylor,1927-03-07,Bangor
Sarah,Johnston,1846-12-26,Brechin
Florence,Renshaw,1963-01-06,Bangor
Agnes,Jones,1923-01-30,Larne
Sarah,Fraser,1882-05-22,Alloa
John,Ross,1847-12-01,Nairn
William,Bentham,1847-02-17,Motherwell
Frederick,Hetherington,1904-12-08,Motherwell
Thirza,Norman,1935-07-17,Linlithgow
Gladys,Chandler,1873-09-23,Dungannon
Alan,Ghillyer,1855-08-28,Dundee
Thomas,Kerr,1872-09-07,Airdrie
William,Clark,1854-03-09,Cupar
Harold,Ghillyer,1962-08-25,St Andrews
David,Joynson,1915-03-24,Port Glasgow
Thomas,Murray,1953-10-23,Kilmarnock
Ian,Campbell,1932-01-30,Rothesay
Catherine,Wallis,1974-11-08,Brechin
Edith,Millar,1979-08-30,Inverness
Charles,Paterson,1863-09-10,Coleraine
Kenneth,Young,1910-07-01,Dufftown
Gladys,Hunter,1911-05-25,Newry
Robert,Wood,1949-06-02,Dunfermline
David,Farrow,1911-05-12,Grantown-on-Spey
Margaret,MacDonald,1921-02-01,Carrickfergus
Sheila,Graham,1941-09-07,Dalbeattie
Ethel,Brown,1965-09-30,Elgin
Patrick,Crawford,1873-12-01,Larne
Iris,Marshall,1969-06-20,Golspie
Norman,Duncan,1865-01-13,Brechin
Florence,Wilson,1981-04-20,Enniskillen
Dorothy,Brown,1988-05-22,Forfar
Jean,Barth,1932-10-10,Lisburn
Ruth,Hyam,1977-10-28,Newton Stewart
Ethel,Burns,1924-07-09,Dromore
Andrew,Williamson,1867-11-18,Rothesay
Stanley,Watson,1841-11-05,Kirkcaldy
Gladys,Ritchie,1975-06-19,Castle Douglas
Michael,Ferguson,1874-06-09,Portsoy
Iris,Stewart,1921-08-11,Bellshill
Kenneth,Stevenson,1861-06-14,Montrose
Thomas,Henderson,1927-06-23,Irvine
Dorothy,Wright,1896-06-06,Carluke
Christopher,Williams,1896-10-09,Bridge of Allan
Jean,Brown,1927-03-25,Stirling
Ada,Simpson,1925-03-15,Armagh
Peter,Shaw,1887-01-01,Coatbridge
Leonard,Humphreys,1989-09-11,Huntly
Betty,Millar,1956-02-26,Lockerbie
Hugh,Stewart,1876-04-04,Brechin
Ethel,Watt,1902-04-18,Lanark
Florence,Watt,1971-09-14,Tillicoultry
George,Walker,1950-01-22,Newtownards
Doris,Hamilton,1907-06-18,Kilsyth
Patrick,Taylor,1966-05-15,Bathgate
Philip,Hutchinson,1853-03-22,Campbeltown
Kenneth,Kennedy,1847-06-18,Hawick
Stanley,Reid,1922-11-22,Arbroath
Edith,Kennedy,1848-01-12,Clydebank
Colin,Millar,1965-07-04,Edinburgh
Donald,Hunter,1900-08-04,Musselburgh
Gladys,Watson,1938-12-26,West Calder
Sarah,Young,1881-09-13,Dufftown
Iris,Martin,1933-11-12,Stonehaven
Ada,Cash,1981-04-09,Strabane
Ada,Bentham,1958-08-09,Oban
Edward,Hyam,1904-08-31,Dalry
Winifred,Grant,1935-06-10,Dufftown
Catherine,Sinclair,1939-12-30,Milngavie
David,Beetham,1900-01-07,Inverness
Donald,Norman,1907-01-28,Clydebank
Margaret,Hetherington,1848-04-11,Portadown
Amos,Duncan,1951-04-15,West Calder
Beatrice,Marshall,1961-07-17,Irvine
Alan,Gordon,1860-10-03,Fraserburgh
Christopher,Wallis,1965-05-18,Stornoway
Ada,Booth,1929-07-24,Kilsyth
Susan,Douglas,1842-01-30,Buckie
Dorothy,Doyle,1960-03-13,Peebles
Leonard,Helm,1910-07-24,Invergordon
Norman,Henderson,1855-01-30,Montrose
Samuel,Duff,1842-11-24,Aberdeen
Stanley,Ritchie,1922-04-25,Airdrie
Iris,Watson,1872-11-03,Dalbeattie
Nancy,Anderson,1899-03-07,Stonehaven
Colin,Marshall,1918-02-15,Bellshill
Stanley,Williamson,1977-06-02,Dumfries
Betty,Douglas,1894-07-21,Fraserburgh
Ronald,Hutchinson,1928-03-08,Aberdeen
David,Clark,1896-07-11,Ballymoney
Lily,Smith,1876-06-22,Alloa
Mabel,Ferguson,1944-07-29,Larne
Alice,McKay,1879-07-31,Elgin
Leonard,Helm,1910-03-23,Dalkeith
Betty,Douglas,1854-07-09,Banbridge
Hugh,Rogerson,1868-09-24,Greenock
James,Thomson,1944-04-06,Tillicoultry
Frederick,Millar,1979-05-18,Londonderry
Mary,Venters,1975-09-27,Newton Stewart
Arthur,Douglas,1844-01-28,Perth
Sheila,Jones,1843-06-03,Kirriemuir
Josephine,Sinclair,1923-03-05,Peterhead
Mabel,Williams,1895-05-12,Lerwick
Jonathan,Penney,1982-08-26,St Andrews
Kenneth,Duff,1855-08-31,Bathgate
Patrick,Dixon,1931-03-20,Alloa
Sean,Doyle,1886-03-23,Buckie
Florence,Humphreys,1939-11-11,Fraserburgh
Ada,Chandler,1851-06-21,Banbridge
David,Venters,1937-11-23,Barrhead
Edith,Marshall,1855-07-12,Wick
Florence,Hyam,1972-03-23,Aberdeen
John,MacDonald,1928-03-20,Banff
John,Marshall,1919-11-10,Invergordon
Jonathan,Jeffery,1898-03-11,Wick
Charles,Smith,1976-06-15,Montrose
Kathleen,Young,1953-04-20,Oban
Ada,Morrison,1990-12-06,St Andrews
Richard,Shaw,1892-12-08,Huntly
Violet,Kerr,1866-09-13,Dungannon
Norman,Craig,1852-08-27,Dumbarton
Winifred,Munro,1943-02-16,Blairgowrie
Agnes,Walker,1867-01-24,Newton Stewart
Elsie,Stewart,1923-02-01,Portsoy
Jonathan,Bell,1918-03-18,Omagh
Josephine,Watt,1911-12-30,Carluke
Harold,Bell,1881-11-10,Cupar
Michael,Ross,1981-12-03,Stornoway
Margaret,Simpson,1868-04-10,Lisburn
Alan,Henderson,1984-04-13,West Calder
Harold,Kennedy,1914-06-06,Kilmarnock
Harold,Hyam,1845-12-31,Londonderry
Frederick,Anderson,1952-02-21,Kirkwall
Amos,Anderson,1939-11-23,Peebles
Sheila,Styles,1887-03-01,Inverness
Hugh,Johnston,1894-05-30,Blairgowrie
Hilda,Crawford,1855-01-16,Omagh
Alice,Brown,1875-02-04,Armagh
Florence,Hopkins,1893-06-15,Jedburgh
Agnes,Black,1928-11-25,Barrhead
Thomas,Paterson,1866-10-08,Newton Stewart
Mabel,Humphreys,1862-09-12,Enniskillen
Steven,Renshaw,1968-03-03,Jedburgh
Lily,Beetham,1882-04-26,Dumbarton
Thomas,Jeffery,1879-12-17,Musselburgh
Elsie,Cunningham,1858-07-14,Annan
Hugh,Grant,1908-04-07,Kirkwall
Steven,Currie,1923-10-23,Bathgate
Olive,Gordon,1883-04-21,Galashiels
Philip,Clark,1936-10-02,Fraserburgh
Josephine,Stewart,1850-12-23,Perth
Donald,Wallis,1863-09-02,Stirling
Violet,Hutchinson,1969-03-11,Kelso
Violet,Hopkins,1922-09-04,Rothesay
Muriel,Grant,1878-11-25,Linlithgow
Sarah,Cunningham,1843-10-04,Tillicoultry
Ronald,Williamson,1959-03-31,Ayr
Margaret,Joynson,1860-07-17,Omagh
Nancy,Renshaw,1852-05-03,Inverness
Elizabeth,Craig,1986-08-15,Kilsyth
Ian,Allan,1964-07-30,Carrickfergus
Catherine,Burns,1892-02-21,Linlithgow
Edith,Watson,1922-02-18,Dalkeith
Hugh,Helm,1974-06-06,Nairn
Gladys,Hutchinson,1902-06-17,Hamilton
Winifred,Cunningham,1913-05-24,Blairgowrie
Lily,Ritchie,1940-05-04,Portadown
Ronald,Douglas,1980-04-09,Banbridge
Edith,Hyam,1871-09-30,Kinross
Andrew,Molnar,1883-01-22,Kirriemuir
Josephine,Styles,1956-11-25,Kinross
Ada,Scott,1986-07-07,Tillicoultry
Henry,Wood,1973-09-14,Dufftown
Christopher,Watt,1938-03-05,Bellshill
Catherine,Jeffery,1920-10-05,Elgin
Kathleen,Duff,1934-06-26,Carrickfergus
Lily,Venters,1856-12-12,Kilsyth
Steven,Allan,1943-01-04,Dalbeattie
Henry,Munro,1930-03-23,Brechin
Elizabeth,Ghillyer,1874-11-16,Campbeltown
Kathleen,Milne,1952-04-16,Golspie
Stanley,Bruce,1861-05-05,Kilmarnock
Violet,Gray,1921-04-17,Coatbridge
Josephine,Denton,1862-02-01,Stornoway
Alexander,Anderson,1963-05-08,Lanark
Catherine,Rogerson,1925-06-22,Ballymena
Peter,Denton,1955-10-28,Galashiels
Jonathan,Scott,1877-07-14,Dunfermline
Olive,Sinclair,1936-04-29,Alloa
Jane,Munro,1932-03-31,Carrickfergus
Sidney,Gray,1919-12-04,Omagh
John,Stewart,1889-02-22,Ballymoney
Steven,Currie,1892-01-02,Oban
James,Bentham,1903-03-10,Kirriemuir
Patrick,Fraser,1853-10-20,Linlithgow
Susan,Johnston,1933-06-29,Enniskillen
Grace,Bennett,1934-08-05,Omagh
Christopher,Venters,1970-09-21,Kinross
Michael,Cash,1883-11-17,Carrickfergus
Norman,Bennett,1886-05-18,Forfar
Peter,Beetham,1922-06-05,Portadown
Muriel,Graham,1913-12-26,Dalbeattie
John,Sinclair,1948-02-25,Larne
Muriel,Ritchie,1968-01-29,Fraserburgh
Janet,Cash,1863-08-23,Dingwall
Michael,Hunter,1851-09-10,Irvine
Steven,Millar,1926-08-25,Ballymena
Dorothy,Venters,1930-02-22,Grantown-on-Spey
Albert,Denton,1920-12-27,Londonderry
John,Sinclair,1974-03-31,Lerwick
Ian,Smith,1898-02-17,Haddington
Josephine,Molnar,1906-02-14,Londonderry
Henry,Hyam,1906-11-23,Buckie
Frederick,Molnar,1977-08-17,Carluke
Peter,Styles,1846-05-28,Kirriemuir
Thomas,Hopkins,1950-06-17,Stonehaven
Betty,Findlay,1880-08-12,Ballymena
Harold,Beetham,1911-10-18,Montrose
Anne,Johnston,1861-02-09,Portadown
Joseph,Rogerson,1909-08-22,Stranraer
Daniel,Wood,1868-07-16,Enniskillen
Norman,Renshaw,1940-09-22,Montrose
Ian,Dixon,1901-07-11,Dingwall
Beatrice,Stevenson,1907-01-19,Bathgate
Thomas,Venters,1877-01-22,Dungannon
Hugh,Rogerson,1878-05-09,Port Glasgow
Patrick,Wood,1876-07-23,Bellshill
Alexander,Smith,1868-09-15,Oban
James,Paterson,1858-11-22,Fraserburgh
James,Milne,1923-05-30,Kirriemuir
Beatrice,Gray,1856-10-03,Dundee
Sarah,Allan,1897-12-02,Inverness
Ada,Wright,1878-01-01,Motherwell
Harold,Ghillyer,1949-11-25,Motherwell
Gladys,Craig,1854-11-28,Dingwall
Florence,Doyle,1841-05-18,Ardrossan
Florence,Mitchell,1975-10-23,Airdrie
Alan,Fraser,1891-10-05,Elgin
Grace,Young,1848-07-25,Stirling
Kenneth,Millar,1846-12-26,Dromore
Anne,Hamilton,1919-06-27,Annan
John,Bentham,1900-10-23,Dumfries
Elizabeth,Venters,1958-05-04,Clydebank
Beatrice,Gordon,1937-12-12,Kinross
Alice,Wright,1888-03-16,Bellshill
Stanley,Denton,1904-07-01,Elgin
Gladys,Duff,1911-01-20,Musselburgh
Edward,Watt,1965-05-13,Kilsyth
Kathleen,Sinclair,1982-02-28,Kirkcaldy
Thirza,Hetherington,1864-09-01,Strabane
Muriel,Joynson,1897-08-05,Elgin
Leonard,Hetherington,1920-12-02,Dunfermline
George,Munro,1877-09-10,Thurso
Ronald,Taylor,1959-05-15,Brechin
Arthur,Johnston,1898-08-15,Kelso
James,Robertson,1899-06-25,Bellshill
Edward,Clements,1975-09-02,Invergordon
Mabel,Douglas,1874-08-17,Kinross
Ian,Penney,1928-03-12,Kilsyth
Amos,Duncan,1895-08-26,Dromore
Betty,Kennedy,1866-06-19,Kirkcaldy
Iris,Reid,1894-09-02,Dingwall
Lily,Booth,1938-06-11,Invergordon
Agnes,Clements,1953-10-24,Stirling
Andrew,Jeffery,1948-07-03,Kirriemuir
Alice,Crawford,1908-04-23,Linlithgow
Sheila,Clark,1915-11-21,Crieff
Lily,Wallace,1855-07-06,Peterhead
Helen,Hetherington,1916-12-16,Perth
Sean,Watt,1920-10-27,Ballymena
Ronald,Walker,1857-12-19,Dunfermline
William,Penney,1898-03-27,Linlithgow
Nellie,Smith,1883-11-28,Musselburgh
Violet,Marshall,1846-02-11,St Andrews
Kathleen,Morrison,1943-05-10,Lerwick
Jean,Clements,1967-11-14,Dalry
William,Duff,1923-03-20,Carluke
Hilda,Burns,1922-12-21,Dunfermline
William,Hetherington,1880-03-23,Carluke
Winifred,Robertson,1842-02-02,St Andrews
Edith,Duncan,1885-08-23,Dromore
Leonard,Bruce,1909-02-11,Newry
Elsie,Duncan,1844-02-18,Peebles
Agnes,Johnston,1955-12-11,Ardrossan
Sidney,Millar,1948-08-21,Campbeltown
Grace,Stevenson,1856-12-06,Dumbarton
Gladys,Hyam,1857-11-30,Carrickfergus
Edward,Stevenson,1901-06-11,Peterhead
Robert,Bennett,1876-04-13,Dingwall
Jonathan,Jeffery,1976-05-14,Buckie
Ada,Scott,1882-11-08,Newry
Ruth,Bell,1883-11-27,Edinburgh
Sidney,Bennett,1979-09-02,Ballymoney
Joseph,Murray,1971-04-20,Peterhead
Andrew,Grant,1907-08-14,Dumfries
Thomas,Murray,1894-07-31,Strabane
Anne,Clark,1984-11-06,Linlithgow
Daniel,Duncan,1888-03-16,Hamilton
Kathleen,Hyam,1981-08-19,Dumbarton
Jose,Anderson,1859-12-25,Thurso
David,Cunningham,1936-10-29,Portadown
Frederick,Crawford,1921-05-31,Buckie
Alexander,Beetham,1879-03-08,Hamilton
Peter,Paterson,1856-10-05,Leven
Kenneth,Wallace,1915-04-22,Musselburgh
Jonathan,Duff,1957-06-18,Coatbridge
Hilda,Reid,1953-04-16,Langholm
Sarah,Simpson,1847-03-02,Stonehaven
Muriel,Anderson,1841-10-07,Bridge of Allan
Nellie,Latham,1939-06-17,Fraserburgh
Albert,Duff,1989-01-19,Wick
Agnes,Graham,1857-04-16,Aberdeen
Anne,Wilson,1868-12-12,Forres
Donald,Mitchell,1941-11-18,Rothesay
Florence,Robertson,1894-09-08,Milngavie
John,Williamson,1886-01-04,West Calder
Betty,Ross,1973-10-17,Banff
Norman,Walker,1858-08-04,Airdrie
Nancy,Ferguson,1843-04-22,Strabane
Sheila,Duff,1870-03-09,Hawick
Thomas,Crawford,1969-06-04,Enniskillen
George,Walker,1890-10-17,Galashiels
Michael,Sinclair,1924-11-25,Annan
Jose,Renshaw,1930-07-16,Montrose
Steven,Beetham,1975-08-11,Kirkintilloch
Colin,Norman,1916-02-12,Brechin
Grace,Williamson,1954-06-07,Nairn
Jean,Hutchinson,1964-09-09,Nairn
Mary,Clark,1965-05-26,Peterhead
Josephine,Currie,1940-11-19,Coatbridge
Sheila,Clark,1865-10-24,Motherwell
Ethel,Shaw,1883-06-27,Portadown
Elizabeth,Millar,1848-04-11,Brechin
Jean,Morrison,1947-12-03,Forres
Sean,Murray,1898-05-11,Fraserburgh
